Range	60.0dB	-120.0dBm
Mobile unit	1	Mobile Terminal	 00.00000	 000.00000	0.0
Fixed unit	2	Monte da Virgem	 41.11313	-008.59838	200.1
Fixed unit	3	Sardoura	 41.04918	-008.31171	316.6
Fixed unit	4	Resende	 41.13410	-007.98018	552.6
Fixed unit	7	S. J. Pesqueira	 41.15195	-007.41028	614.3
Fixed unit	8	Torre de Moncorvo	 41.15945	-007.17083	697.9
Latitude	Longitude	Rx(dB)	Best unit
 41.40347	-008.71583	 040.7	2
 41.40347	-008.71083	 042.0	2
 41.40347	-008.70584	 045.6	2
 41.40347	-008.70085	 043.1	2
 41.40347	-008.69586	 041.1	2
 41.40348	-008.69087	 037.0	2
 41.40347	-008.68588	 040.9	2
 41.40347	-008.68089	 040.6	2
 41.40347	-008.67590	 039.7	2
 41.40347	-008.67091	 037.6	2
 41.40347	-008.66593	 023.0	2
 41.40347	-008.66093	 028.7	2
 41.40347	-008.65594	 024.4	2
 41.40347	-008.65095	 021.0	0
 41.40347	-008.64596	 028.7	2
 41.40347	-008.64097	 025.2	2
 41.40347	-008.63598	 019.8	2
 41.40347	-008.63099	 023.7	2
 41.40347	-008.62600	 026.7	2
 41.40347	-008.62101	 011.4	0
 41.40347	-008.61602	 018.5	2
 41.40347	-008.61103	 010.5	0
 41.40347	-008.60604	 026.7	2
 41.40347	-008.60105	 036.6	2
 41.40347	-008.59606	 043.2	2
 41.40348	-008.59107	 021.2	2
 41.40347	-008.58608	 019.4	2
 41.40347	-008.58109	 017.3	0
 41.40347	-008.57610	 033.9	2
 41.40347	-008.57111	 017.7	0
 41.40347	-008.56612	 039.1	2
 41.40347	-008.56113	 043.0	2
 41.40347	-008.55614	 049.4	2
 41.40347	-008.55115	 054.2	2
 41.40347	-008.54616	 052.3	2
 41.40347	-008.54117	 036.4	2
 41.40347	-008.53618	 033.2	0
 41.40347	-008.53119	 029.1	0
 41.40347	-008.52620	 025.6	0
 41.40347	-008.52121	 035.2	2
 41.40347	-008.51622	 027.2	2
 41.40347	-008.51123	 032.2	0
 41.40348	-008.50624	 034.9	2
 41.40347	-008.50125	 042.5	2
 41.40347	-008.49626	 041.5	2
 41.40347	-008.49127	 033.0	2
 41.40347	-008.48628	 029.8	2
 41.40347	-008.48129	 040.1	2
 41.40347	-008.47630	 041.2	2
 41.40347	-008.47131	 041.1	2
 41.40347	-008.46632	 039.8	2
 41.40347	-008.46133	 038.0	2
 41.40347	-008.45634	 037.6	2
 41.40347	-008.45135	 030.8	2
 41.40348	-008.44636	 016.9	0
 41.40347	-008.44137	 022.4	0
 41.40347	-008.43638	 037.7	2
 41.40347	-008.43139	 041.8	2
 41.40347	-008.42640	 014.2	2
 41.40347	-008.42141	 042.7	2
 41.40347	-008.41642	 041.9	2
 41.40347	-008.41143	 040.0	2
 41.40347	-008.40644	 033.7	2
 41.40347	-008.40145	 023.7	0
 41.40347	-008.39646	 029.5	2
 41.40347	-008.39147	 027.8	0
 41.40347	-008.38648	 023.5	0
 41.40347	-008.38149	 022.4	0
 41.40347	-008.37650	 010.5	0
 41.40347	-008.37151	 019.3	0
 41.40347	-008.36652	 015.3	0
 41.40347	-008.36153	 019.9	0
 41.40347	-008.35654	 029.5	0
 41.40347	-008.35155	 032.4	0
 41.40348	-008.34656	 035.8	0
 41.40347	-008.34157	 036.2	0
 41.40347	-008.33658	 032.3	0
 41.40347	-008.33159	 011.8	0
 41.40347	-008.32660	 026.6	3
 41.40347	-008.32161	 020.8	0
 41.40347	-008.31662	 028.8	0
 41.40347	-008.31163	 034.2	0
 41.40347	-008.30663	 030.9	0
 41.40347	-008.30165	 027.3	2
 41.40347	-008.29666	 023.8	2
 41.40347	-008.29167	 035.5	2
 41.40347	-008.28667	 011.2	0
 41.40347	-008.28168	 019.3	0
 41.40347	-008.27670	-004.8	0
 41.40347	-008.27170	 023.2	0
 41.40347	-008.26672	 032.9	0
 41.40347	-008.26172	 033.2	0
 41.40347	-008.25673	 032.0	0
 41.40347	-008.25174	 018.1	3
 41.40347	-008.24675	 032.4	0
 41.40347	-008.24176	 036.1	0
 41.40347	-008.23677	 014.4	3
 41.40347	-008.23178	 015.5	0
 41.40347	-008.22679	 018.4	0
 41.40347	-008.22180	 003.4	0
 41.40347	-008.21681	 012.7	0
 41.40347	-008.21182	 009.9	0
 41.40347	-008.20683	 024.8	0
 41.40347	-008.20184	 028.8	0
 41.40347	-008.19685	 036.3	0
 41.40347	-008.19186	 033.5	0
 41.40347	-008.18687	 024.4	0
 41.40347	-008.18188	 032.9	0
 41.40347	-008.17689	 035.0	0
 41.40347	-008.17190	 032.4	2
 41.40347	-008.16691	 032.5	0
 41.40347	-008.16192	 019.0	0
 41.40347	-008.15693	 008.3	0
 41.40347	-008.15194	 033.8	0
 41.40347	-008.14695	 038.8	0
 41.40347	-008.14196	 013.1	0
 41.40347	-008.13697	 019.5	0
 41.40347	-008.13198	 035.2	2
 41.40347	-008.12699	 019.4	0
 41.40347	-008.12200	 016.9	0
 41.40347	-008.11701	 038.8	0
 41.40347	-008.11202	 040.0	2
 41.40347	-008.10703	 015.3	0
 41.40347	-008.10204	 011.8	0
 41.40347	-008.09705	 016.4	0
 41.40347	-008.09206	 033.9	3
 41.40347	-008.08707	 035.1	3
 41.40347	-008.08208	 041.4	0
 41.40347	-008.07709	 042.8	0
 41.40347	-008.07210	 047.1	0
 41.40347	-008.06711	 021.4	0
 41.40347	-008.06212	 021.4	0
 41.40347	-008.05713	 021.6	0
 41.40347	-008.05214	 021.9	0
 41.40347	-008.04715	 015.5	0
 41.40347	-008.04216	 020.7	3
 41.40347	-008.03717	 028.5	3
 41.40347	-008.03218	 037.7	0
 41.40347	-008.02719	 031.1	0
 41.40347	-008.02220	 010.4	0
 41.40347	-008.01721	 009.3	0
 41.40347	-008.01222	 012.2	0
 41.40347	-008.00723	 021.8	0
 41.40347	-008.00224	 022.7	0
 41.40347	-007.99725	 021.9	0
 41.40347	-007.99226	 023.8	0
 41.40347	-007.98727	 023.4	3
 41.40347	-007.98228	 023.9	0
 41.40347	-007.97729	 009.5	4
 41.40347	-007.97230	 000.1	0
 41.40347	-007.96731	 018.0	0
 41.40347	-007.96232	 013.1	3
 41.40347	-007.95733	 013.2	0
 41.40347	-007.95234	 023.8	3
 41.40347	-007.94735	 025.6	3
 41.40347	-007.94236	 025.4	3
 41.40347	-007.93737	 020.8	3
 41.40347	-007.93238	 027.6	3
 41.40347	-007.92739	 034.4	3
 41.40347	-007.92240	 038.7	3
 41.40347	-007.91741	 023.2	3
 41.40348	-007.91242	 024.5	0
 41.40347	-007.90743	 019.9	0
 41.40347	-007.90244	 020.4	0
 41.40347	-007.89745	 030.0	0
 41.40347	-007.89246	 028.0	0
 41.40347	-007.88747	 027.4	0
 41.40347	-007.88247	 019.5	3
 41.40347	-007.87748	 021.8	0
 41.40347	-007.87250	 018.8	3
 41.40347	-007.86751	 008.1	0
 41.40347	-007.86251	 005.3	0
 41.40347	-007.85752	 019.4	3
 41.40347	-007.85253	 031.1	2
 41.40347	-007.84754	 044.0	0
 41.40347	-007.84255	 043.6	0
 41.40347	-007.83756	 037.9	0
 41.40347	-007.83257	 040.1	0
 41.40347	-007.82758	 038.5	2
 41.40347	-007.82259	 039.9	0
 41.40347	-007.81760	 047.9	0
 41.40347	-007.81261	 043.8	2
 41.40347	-007.80762	 033.0	2
 41.40347	-007.80263	 035.4	0
 41.40347	-007.79764	 046.2	0
 41.40347	-007.79265	 034.3	7
 41.40347	-007.78766	 030.4	7
 41.40347	-007.78267	 022.4	0
 41.40347	-007.77768	 021.2	0
 41.40347	-007.77269	 036.0	0
 41.40347	-007.76770	 041.7	0
 41.40347	-007.76271	 029.5	0
 41.40347	-007.75772	 039.6	2
 41.40347	-007.75273	 042.6	2
 41.40347	-007.74774	 021.9	7
 41.40347	-007.74275	 054.0	7
 41.40347	-007.73776	 054.6	7
 41.40347	-007.73277	 049.3	7
 41.40347	-007.72778	 044.7	7
 41.40347	-007.72279	 035.2	7
 41.40347	-007.71780	 022.3	7
 41.40347	-007.71281	 012.6	0
 41.40347	-007.70782	 012.5	0
 41.40347	-007.70283	 035.0	7
 41.40347	-007.69784	 015.9	0
 41.40347	-007.69285	 033.2	7
 41.40347	-007.68786	 015.5	7
 41.40347	-007.68287	 016.5	0
 41.40347	-007.67788	 020.3	0
 41.40347	-007.67289	 023.4	0
 41.40347	-007.66790	 023.2	0
 41.40347	-007.66291	 023.1	0
 41.40347	-007.65792	 036.9	7
 41.40347	-007.65293	 049.5	7
 41.40347	-007.64794	 051.0	7
 41.40347	-007.64295	 030.0	0
 41.40347	-007.63796	 059.5	7
 41.40347	-007.63297	 059.5	7
 41.40347	-007.62798	 056.8	7
 41.40347	-007.62299	 019.6	0
