Range	60.0dB	-120.0dBm
Mobile unit	1	Mobile Terminal	 00.00000	 000.00000	0.0
Fixed unit	2	Monte da Virgem	 41.11313	-008.59838	200.1
Latitude	Longitude	Rx(dB)	Best unit
 41.40347	-008.71583	 040.7	2
 41.40347	-008.71083	 042.0	2
 41.40347	-008.70584	 045.6	2
 41.40347	-008.70085	 043.1	2
 41.40347	-008.69586	 041.1	2
 41.40348	-008.69087	 037.0	2
 41.40347	-008.68588	 040.9	2
 41.40347	-008.68089	 040.6	2
 41.40347	-008.67590	 039.7	2
 41.40347	-008.67091	 037.6	2
 41.40347	-008.66593	 023.0	2
 41.40347	-008.66093	 028.7	2
 41.40347	-008.65594	 024.4	2
 41.40347	-008.65095	 021.0	2
 41.40347	-008.64596	 028.7	2
 41.40347	-008.64097	 025.2	2
 41.40347	-008.63598	 019.8	2
 41.40347	-008.63099	 023.7	2
 41.40347	-008.62600	 026.7	2
 41.40347	-008.62101	 011.4	2
 41.40347	-008.61602	 018.5	2
 41.40347	-008.61103	 010.5	2
 41.40347	-008.60604	 026.7	2
 41.40347	-008.60105	 036.6	2
 41.40347	-008.59606	 043.2	2
 41.40348	-008.59107	 021.2	2
 41.40347	-008.58608	 019.4	2
 41.40347	-008.58109	 017.3	2
 41.40347	-008.57610	 033.9	2
 41.40347	-008.57111	 017.7	2
 41.40347	-008.56612	 039.1	2
 41.40347	-008.56113	 043.0	2
 41.40347	-008.55614	 049.4	2
 41.40347	-008.55115	 054.2	2
 41.40347	-008.54616	 052.3	2
 41.40347	-008.54117	 036.4	2
 41.40347	-008.53618	 033.2	2
 41.40347	-008.53119	 029.1	2
 41.40347	-008.52620	 023.3	2
 41.40347	-008.52121	 035.2	2
 41.40347	-008.51622	 027.2	2
 41.40347	-008.51123	 032.2	2
 41.40348	-008.50624	 034.9	2
 41.40347	-008.50125	 042.5	2
 41.40347	-008.49626	 041.5	2
 41.40347	-008.49127	 033.0	2
 41.40347	-008.48628	 029.8	2
 41.40347	-008.48129	 040.1	2
 41.40347	-008.47630	 041.2	2
 41.40347	-008.47131	 041.1	2
 41.40347	-008.46632	 039.8	2
 41.40347	-008.46133	 038.0	2
 41.40347	-008.45634	 037.6	2
 41.40347	-008.45135	 030.8	2
 41.40348	-008.44636	 016.9	2
 41.40347	-008.44137	 022.4	2
 41.40347	-008.43638	 037.7	2
 41.40347	-008.43139	 041.8	2
 41.40347	-008.42640	 014.2	2
 41.40347	-008.42141	 042.7	2
 41.40347	-008.41642	 041.9	2
 41.40347	-008.41143	 040.0	2
 41.40347	-008.40644	 033.7	2
 41.40347	-008.40145	 023.7	2
 41.40347	-008.39646	 029.5	2
 41.40347	-008.39147	 027.8	2
 41.40347	-008.38648	 023.5	2
 41.40347	-008.38149	 022.4	2
 41.40347	-008.37650	 009.5	2
 41.40347	-008.37151	 017.0	2
 41.40347	-008.36652	 011.7	2
 41.40347	-008.36153	 019.0	2
 41.40347	-008.35654	 029.5	2
 41.40347	-008.35155	 032.4	2
 41.40348	-008.34656	 034.4	2
 41.40347	-008.34157	 034.2	2
 41.40347	-008.33658	 029.3	2
 41.40347	-008.33159	 011.8	2
 41.40347	-008.32660	 009.4	2
 41.40347	-008.32161	 020.8	2
 41.40347	-008.31662	 025.0	2
 41.40347	-008.31163	 029.1	2
 41.40347	-008.30663	 027.5	2
 41.40347	-008.30165	 027.3	2
 41.40347	-008.29666	 023.8	2
 41.40347	-008.29167	 035.5	2
 41.40347	-008.28667	 011.2	2
 41.40347	-008.28168	 019.3	2
 41.40347	-008.27670	-004.8	2
 41.40347	-008.27170	 012.3	2
 41.40347	-008.26672	 026.5	2
 41.40347	-008.26172	 033.2	2
 41.40347	-008.25673	 030.1	2
 41.40347	-008.25174	 006.2	2
 41.40347	-008.24675	 032.4	2
 41.40347	-008.24176	 036.1	2
 41.40347	-008.23677	-005.2	2
 41.40347	-008.23178	 005.2	2
 41.40347	-008.22679	 008.8	2
 41.40347	-008.22180	 003.4	2
 41.40347	-008.21681	 012.7	2
 41.40347	-008.21182	 009.9	2
 41.40347	-008.20683	 024.8	2
 41.40347	-008.20184	 028.8	2
 41.40347	-008.19685	 032.7	2
 41.40347	-008.19186	 033.2	2
 41.40347	-008.18687	 024.4	2
 41.40347	-008.18188	 032.9	2
 41.40347	-008.17689	 034.4	2
 41.40347	-008.17190	 032.4	2
 41.40347	-008.16691	 032.5	2
 41.40347	-008.16192	 008.6	2
 41.40347	-008.15693	 000.7	2
 41.40347	-008.15194	 028.8	2
 41.40347	-008.14695	 034.5	2
 41.40347	-008.14196	 004.3	2
 41.40347	-008.13697	 010.6	2
 41.40347	-008.13198	 035.2	2
 41.40347	-008.12699	 019.4	2
 41.40347	-008.12200	 016.3	2
 41.40347	-008.11701	 038.8	2
 41.40347	-008.11202	 040.0	2
 41.40347	-008.10703	 009.1	2
 41.40347	-008.10204	-008.5	2
 41.40347	-008.09705	-007.1	2
 41.40347	-008.09206	-001.0	2
 41.40347	-008.08707	 017.2	2
 41.40347	-008.08208	 037.2	2
 41.40347	-008.07709	 038.1	2
 41.40347	-008.07210	 041.5	2
 41.40347	-008.06711	-003.5	2
 41.40347	-008.06212	-003.9	2
 41.40347	-008.05713	-011.1	2
 41.40347	-008.05214	-009.1	2
 41.40347	-008.04715	-016.9	2
 41.40347	-008.04216	-001.3	2
 41.40347	-008.03717	 014.2	2
 41.40347	-008.03218	 027.8	2
 41.40347	-008.02719	-007.3	2
 41.40347	-008.02220	-014.4	2
 41.40347	-008.01721	-026.3	2
 41.40347	-008.01222	-018.6	2
 41.40347	-008.00723	-001.3	2
 41.40347	-008.00224	 005.3	2
 41.40347	-007.99725	-003.7	2
 41.40347	-007.99226	 005.7	2
 41.40347	-007.98727	 005.2	2
 41.40347	-007.98228	 001.7	2
 41.40347	-007.97729	-039.3	2
 41.40347	-007.97230	-015.3	2
 41.40347	-007.96731	 003.9	2
 41.40347	-007.96232	-012.2	2
 41.40347	-007.95733	-001.8	2
 41.40347	-007.95234	 006.9	2
 41.40347	-007.94735	 008.8	2
 41.40347	-007.94236	 009.5	2
 41.40347	-007.93737	 007.7	2
 41.40347	-007.93238	 011.8	2
 41.40347	-007.92739	 013.3	2
 41.40347	-007.92240	 014.4	2
 41.40347	-007.91741	 002.9	2
 41.40348	-007.91242	 015.8	2
 41.40347	-007.90743	 014.8	2
 41.40347	-007.90244	 014.0	2
 41.40347	-007.89745	 024.6	2
 41.40347	-007.89246	 026.7	2
 41.40347	-007.88747	 027.4	2
 41.40347	-007.88247	-028.2	2
 41.40347	-007.87748	 016.7	2
 41.40347	-007.87250	-004.0	2
 41.40347	-007.86751	 001.1	2
 41.40347	-007.86251	 005.3	2
 41.40347	-007.85752	 007.2	2
 41.40347	-007.85253	 031.1	2
 41.40347	-007.84754	 040.2	2
 41.40347	-007.84255	 041.5	2
 41.40347	-007.83756	 037.9	2
 41.40347	-007.83257	 040.1	2
 41.40347	-007.82758	 038.5	2
 41.40347	-007.82259	 039.9	2
 41.40347	-007.81760	 041.6	2
 41.40347	-007.81261	 043.8	2
 41.40347	-007.80762	 033.0	2
 41.40347	-007.80263	 035.4	2
 41.40347	-007.79764	 046.2	2
 41.40347	-007.79265	 003.7	2
 41.40347	-007.78766	-004.2	2
 41.40347	-007.78267	 000.5	2
 41.40347	-007.77768	 008.0	2
 41.40347	-007.77269	 028.5	2
 41.40347	-007.76770	 041.7	2
 41.40347	-007.76271	 024.3	2
 41.40347	-007.75772	 039.6	2
 41.40347	-007.75273	 042.6	2
 41.40347	-007.74774	 002.1	2
 41.40347	-007.74275	-006.4	2
 41.40347	-007.73776	-027.1	2
 41.40347	-007.73277	-022.8	2
 41.40347	-007.72778	-029.7	2
 41.40347	-007.72279	-030.3	2
 41.40347	-007.71780	-029.6	2
 41.40347	-007.71281	-022.3	2
 41.40347	-007.70782	-011.3	2
 41.40347	-007.70283	-005.6	2
 41.40347	-007.69784	-007.1	2
 41.40347	-007.69285	-016.2	2
 41.40347	-007.68786	-028.6	2
 41.40347	-007.68287	-012.9	2
 41.40347	-007.67788	 000.2	2
 41.40347	-007.67289	 005.7	2
 41.40347	-007.66790	 008.2	2
 41.40347	-007.66291	 009.0	2
 41.40347	-007.65792	 009.5	2
 41.40347	-007.65293	 010.0	2
 41.40347	-007.64794	-005.5	2
 41.40347	-007.64295	 004.6	2
 41.40347	-007.63796	-031.1	2
 41.40347	-007.63297	 005.1	2
 41.40347	-007.62798	-005.6	2
 41.40347	-007.62299	-003.0	2
 41.40347	-007.61800	-033.9	2
 41.40347	-007.61301	-025.6	2
 41.40347	-007.60802	-023.8	2
 41.40347	-007.60303	-017.5	2
 41.40347	-007.59804	-002.3	2
 41.40347	-007.59305	-008.4	2
 41.40347	-007.58806	-001.7	2
